category_id,story_id,question_NO,question_id,en,ja,voice,answer,chips,audio,audio_auto,icon_first,position_first
c01,s002,1,c01_s002_q1,Scientists finally found the answer in 2018.,2018年、ついに科学者が答えを見つけた。,Ivy,Scientists finally found the answer in 2018.,Scientists|finally|found|the|answer|in|2018.,c01_s002_q1.mp3,1,,narration
c01,s002,2,c01_s002_q2,The secret is inside the intestine.,秘密は腸の中にあった。,Ivy,The secret is inside the intestine.,The|secret|is|inside|the|intestine.,c01_s002_q2.mp3,1,,narration
c01,s002,3,c01_s002_q3,Some parts of the intestine wall are stiff.,腸の壁には、硬いところがある。,Ivy,Some parts of the intestine wall are stiff.,Some|parts|of|the|intestine|wall|are|stiff.,c01_s002_q3.mp3,1,,narration
c01,s002,4,c01_s002_q4,Other parts are soft and stretchy.,一方で、やわらかくてよく伸びるところもある。,Ivy,Other parts are soft and stretchy.,Other|parts|are|soft|and|stretchy.,c01_s002_q4.mp3,1,,narration
c01,s002,5,c01_s002_q5,"As the poop moves along, it gets squeezed unevenly.",うんこが進んでいくうちに、場所によって押され方が違ってくる。,Ivy,"As the poop moves along, it gets squeezed unevenly.","As|the|poop|moves|along,|it|gets|squeezed|unevenly.",c01_s002_q5.mp3,1,,narration
c01,s002,6,c01_s002_q6,"Slowly, it becomes a cube.",そうやって少しずつ四角くなっていく。,Ivy,"Slowly, it becomes a cube.","Slowly,|it|becomes|a|cube.",c01_s002_q6.mp3,1,,narration
c01,s002,7,c01_s002_q7,Wombats also digest food very slowly.,それに、ウォンバットは消化にすごく時間がかかる。,Ivy,Wombats also digest food very slowly.,Wombats|also|digest|food|very|slowly.,c01_s002_q7.mp3,1,,narration
c01,s002,8,c01_s002_q8,It can take about two weeks.,2週間くらいかかることも。,Ivy,It can take about two weeks.,It|can|take|about|two|weeks.,c01_s002_q8.mp3,1,,narration
c01,s002,9,c01_s002_q9,So their poop becomes very dry and firm.,だからうんこがカラカラに乾いて硬くなる。,Ivy,So their poop becomes very dry and firm.,So|their|poop|becomes|very|dry|and|firm.,c01_s002_q9.mp3,1,,narration
c01,s002,10,c01_s002_q10,That helps it keep its shape.,そのおかげで形が崩れないんだ。,Ivy,That helps it keep its shape.,That|helps|it|keep|its|shape.,c01_s002_q10.mp3,1,,narration
