category_id,story_id,question_NO,question_id,en,ja,voice,answer,chips,audio,audio_auto,icon_first,position_first
c02,s001,1,c02_s001_q1,"In a town with an old clock tower, there lived a girl named Mina.",古い時計塔のある街に、ミーナという名前の少女が住んでいた。,Kendra,"In a town with an old clock tower, there lived a girl named Mina.","In|a|town|with|an|old|clock|tower,|there|lived|a|girl|named|Mina.",c02_s001_q1.mp3,1,,narration
c02,s001,2,c02_s001_q2,"Wherever she walked, she found grains of light on the ground.",彼女はどこを歩いても、地面に光の粒を見つけた。,Kendra,"Wherever she walked, she found grains of light on the ground.","Wherever|she|walked,|she|found|grains|of|light|on|the|ground.",c02_s001_q2.mp3,1,,narration
c02,s001,3,c02_s001_q3,"They were tiny, and they glowed faintly, like stars that had fallen asleep.",それはとても小さくて、かすかに光っていた。眠ってしまった星のように。,Kendra,"They were tiny, and they glowed faintly, like stars that had fallen asleep.","They|were|tiny,|and|they|glowed|faintly,|like|stars|that|had|fallen|asleep.",c02_s001_q3.mp3,1,,narration
c02,s001,4,c02_s001_q4,Nobody else seemed to notice them.,ほかの誰も、それに気づいていないようだった。,Kendra,Nobody else seemed to notice them.,Nobody|else|seemed|to|notice|them.,c02_s001_q4.mp3,1,,narration
c02,s001,5,c02_s001_q5,Mina collected them in a small glass bottle.,ミーナはそれを小さなガラスの瓶に集めていた。,Kendra,Mina collected them in a small glass bottle.,Mina|collected|them|in|a|small|glass|bottle.,c02_s001_q5.mp3,1,,narration
c02,s001,6,c02_s001_q6,She found them under the stone bridge.,石の橋の下で見つけた。,Kendra,She found them under the stone bridge.,She|found|them|under|the|stone|bridge.,c02_s001_q6.mp3,1,,narration
c02,s001,7,c02_s001_q7,She found them at the back door of the bakery.,パン屋の裏口で見つけた。,Kendra,She found them at the back door of the bakery.,She|found|them|at|the|back|door|of|the|bakery.,c02_s001_q7.mp3,1,,narration
c02,s001,8,c02_s001_q8,"She found them on the edge of the fountain, where the water never stopped.",水がずっと流れ続けている噴水のふちで見つけた。,Kendra,"She found them on the edge of the fountain, where the water never stopped.","She|found|them|on|the|edge|of|the|fountain,|where|the|water|never|stopped.",c02_s001_q8.mp3,1,,narration
c02,s001,9,c02_s001_q9,"Each time, she knelt down.",そのたびに、彼女はひざをついた。,Kendra,"Each time, she knelt down.","Each|time,|she|knelt|down.",c02_s001_q9.mp3,1,,narration
c02,s001,10,c02_s001_q10,She picked up the grain with great care.,とても丁寧に、その粒を拾い上げた。,Kendra,She picked up the grain with great care.,She|picked|up|the|grain|with|great|care.,c02_s001_q10.mp3,1,,narration
c02,s001,11,c02_s001_q11,"Then she dropped it into her bottle, and the bottle grew a little brighter.",そして瓶の中に落とすと、瓶は少しだけ明るくなった。,Kendra,"Then she dropped it into her bottle, and the bottle grew a little brighter.","Then|she|dropped|it|into|her|bottle,|and|the|bottle|grew|a|little|brighter.",c02_s001_q11.mp3,1,,narration
c02,s001,12,c02_s001_q12,"By now, the bottle was almost full.",瓶はもう、いっぱいになりかけていた。,Kendra,"By now, the bottle was almost full.","By|now,|the|bottle|was|almost|full.",c02_s001_q12.mp3,1,,narration
c02,s001,13,c02_s001_q13,Mina did not know what the grains were.,ミーナは、その粒が何なのか知らなかった。,Kendra,Mina did not know what the grains were.,Mina|did|not|know|what|the|grains|were.,c02_s001_q13.mp3,1,,narration
c02,s001,14,c02_s001_q14,She did not know where they came from.,どこから来たのかも知らなかった。,Kendra,She did not know where they came from.,She|did|not|know|where|they|came|from.,c02_s001_q14.mp3,1,,narration
c02,s001,15,c02_s001_q15,"But she kept collecting them, day after day.",それでも彼女は毎日、集め続けていた。,Kendra,"But she kept collecting them, day after day.","But|she|kept|collecting|them,|day|after|day.",c02_s001_q15.mp3,1,,narration
