category_id,story_id,question_NO,question_id,en,ja,voice,answer,chips,audio,audio_auto,icon_first,position_first
c01,s001,1,c01_s001_q1,"Wombats are small, round animals from Australia.",ウォンバットはオーストラリアにいる、小さくて丸っこい動物。,Ivy,"Wombats are small, round animals from Australia.","Wombats|are|small,|round|animals|from|Australia.",c01_s001_q1.mp3,1,,narration
c01,s001,2,c01_s001_q2,They look cute and a little sleepy.,見た目はかわいくて、ちょっと眠そう。,Ivy,They look cute and a little sleepy.,They|look|cute|and|a|little|sleepy.,c01_s001_q2.mp3,1,,narration
c01,s001,3,c01_s001_q3,But they have a very strange secret.,でも、すごく変わった秘密があるんだ。,Ivy,But they have a very strange secret.,But|they|have|a|very|strange|secret.,c01_s001_q3.mp3,1,,narration
c01,s001,4,c01_s001_q4,Their poop is shaped like cubes!,なんとうんこがサイコロ型！,Ivy,Their poop is shaped like cubes!,Their|poop|is|shaped|like|cubes!,c01_s001_q4.mp3,1,,narration
c01,s001,5,c01_s001_q5,"Yes, you read that right.",そう、読み間違いじゃないよ。,Ivy,"Yes, you read that right.","Yes,|you|read|that|right.",c01_s001_q5.mp3,1,,narration
c01,s001,6,c01_s001_q6,Wombat poop has flat sides and corners.,ウォンバットのうんこには平らな面と角がある。,Ivy,Wombat poop has flat sides and corners.,Wombat|poop|has|flat|sides|and|corners.,c01_s001_q6.mp3,1,,narration
c01,s001,7,c01_s001_q7,It looks a bit like tiny dice.,ちっちゃいサイコロみたいな感じ。,Ivy,It looks a bit like tiny dice.,It|looks|a|bit|like|tiny|dice.,c01_s001_q7.mp3,1,,narration
c01,s001,8,c01_s001_q8,Each cube is about two centimeters wide.,1個の大きさは2センチくらい。,Ivy,Each cube is about two centimeters wide.,Each|cube|is|about|two|centimeters|wide.,c01_s001_q8.mp3,1,,narration
c01,s001,9,c01_s001_q9,One wombat can make around 100 cubes every night.,1匹で毎晩100個くらい出すこともある。,Ivy,One wombat can make around 100 cubes every night.,One|wombat|can|make|around|100|cubes|every|night.,c01_s001_q9.mp3,1,,narration
c01,s001,10,c01_s001_q10,"For a long time, nobody knew why.",長いあいだ、その理由は誰にもわからなかった。,Ivy,"For a long time, nobody knew why.","For|a|long|time,|nobody|knew|why.",c01_s001_q10.mp3,1,,narration
c01,s001,11,c01_s001_q11,Some people thought wombats had square bottoms.,お尻が四角いんじゃないかと思う人もいた。,Ivy,Some people thought wombats had square bottoms.,Some|people|thought|wombats|had|square|bottoms.,c01_s001_q11.mp3,1,,narration
c01,s001,12,c01_s001_q12,That is not true.,でもそれは違う。,Ivy,That is not true.,That|is|not|true.,c01_s001_q12.mp3,1,,narration
