category_id,story_id,question_NO,question_id,en,ja,voice,answer,chips,audio,audio_auto,icon_first,position_first
c02,s008,1,c02_s008_q1,"""I'm Amelia. I'm a mage. Nice to meet you.""",「私はアメリア。魔法使いよ。よろしくね」,Ivy,"""I'm Amelia. I'm a mage. Nice to meet you.""","""I'm|Amelia.|I'm|a|mage.|Nice|to|meet|you.""",c02_s008_q1.mp3,1,Ivy.png,left
c02,s008,2,c02_s008_q2,"Saying that, Amelia held out her hand for a handshake with a bright smile.",そう言い、アメリアはにこやかに握手を求めてきた。,Kevin,"Saying that, Amelia held out her hand for a handshake with a bright smile.","Saying|that,|Amelia|held|out|her|hand|for|a|handshake|with|a|bright|smile.",c02_s008_q2.mp3,1,Kevin.png,narration
c02,s008,3,c02_s008_q3,I had no choice but to take it.,僕は仕方なく応じた。,Kevin,I had no choice but to take it.,I|had|no|choice|but|to|take|it.,c02_s008_q3.mp3,1,Kevin.png,narration
c02,s008,4,c02_s008_q4,"""I don't want to fight the Demon Lord.""",「僕は、魔王と戦いたくありません」,Kevin,"""I don't want to fight the Demon Lord.""","""I|don't|want|to|fight|the|Demon|Lord.""",c02_s008_q4.mp3,1,Kevin.png,right
c02,s008,5,c02_s008_q5,"When I said that, Amelia looked a little troubled.",そういうと、アメリアは少し困った顔をした。,Kevin,"When I said that, Amelia looked a little troubled.","When|I|said|that,|Amelia|looked|a|little|troubled.",c02_s008_q5.mp3,1,Kevin.png,narration
c02,s008,6,c02_s008_q6,"""But we can't defeat the Demon Lord without you, Hero Takashi.""",「でも、勇者タカシがいないと魔王を倒せないわ」,Ivy,"""But we can't defeat the Demon Lord without you, Hero Takashi.""","""But|we|can't|defeat|the|Demon|Lord|without|you,|Hero|Takashi.""",c02_s008_q6.mp3,1,Ivy.png,left
c02,s008,7,c02_s008_q7,"""Why not? I haven't had any training, and I've never even held a sword.""",「どうしてですか？僕はなんの訓練も受けていないし、剣も持ったことが無いんです」,Kevin,"""Why not? I haven't had any training, and I've never even held a sword.""","""Why|not?|I|haven't|had|any|training,|and|I've|never|even|held|a|sword.""",c02_s008_q7.mp3,1,Kevin.png,right
c02,s008,8,c02_s008_q8,"""I'm going home now. Goodbye.""",「もう帰ります。さようなら」,Kevin,"""I'm going home now. Goodbye.""","""I'm|going|home|now.|Goodbye.""",c02_s008_q8.mp3,1,Kevin.png,right
c02,s008,9,c02_s008_q9,Amelia grabbed my arm with a strong grip.,アメリアは僕の腕を力強く掴んだ。,Kevin,Amelia grabbed my arm with a strong grip.,Amelia|grabbed|my|arm|with|a|strong|grip.,c02_s008_q9.mp3,1,Kevin.png,narration
c02,s008,10,c02_s008_q10,"Then she chanted a spell in a loud, clear voice.",そして高らかに魔法を唱えた。,Kevin,"Then she chanted a spell in a loud, clear voice.","Then|she|chanted|a|spell|in|a|loud,|clear|voice.",c02_s008_q10.mp3,1,Kevin.png,narration
c02,s008,11,c02_s008_q11,"""Warp!""",「ワープ！」,Ivy,"""Warp!""","""Warp!""",c02_s008_q11.mp3,1,Ivy.png,left
