question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,highlight_chips,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second
e2201,va1101,growth,My little brother grew five centimeters this year.,That's a big growth spurt!,弟が今年5センチも背が伸びたんだ。,それはすごい急成長だね！,Kevin,Ivy,2,growth,Kevin,Ivy,My little brother grew five centimeters this year.,___________,That's a big growth spurt!,That's|a|big|growth|spurt!,e2201-a.mp3,e2201-b.mp3,1,Kevin.png,Ivy.png,left,right
e2202,va1101,growth,The country's economic growth slowed down last year.,,その国の経済成長は昨年、鈍化しました。,,Ruth,,1,growth,Ruth,,___________,,The country's economic growth slowed down last year.,The|country's|economic|growth|slowed|down|last|year.,e2202-a.mp3,,1,Ruth.png,,left,none
e2203,va1102,alter,Can you alter this skirt? It's too long.,"Sure, I'll shorten it this weekend.",このスカート、直してもらえる？長すぎるの。,いいわよ、週末に短くしてあげる。,Ivy,Ruth,1,alter,Ivy,Ruth,___________,"Sure, I'll shorten it this weekend.",Can you alter this skirt? It's too long.,Can|you|alter|this|skirt?|It's|too|long.,e2203-a.mp3,e2203-b.mp3,1,Ivy,Ruth.png,right,left
e2204,va1102,alter,Climate change can alter the lives of many animals.,,気候変動は多くの動物の暮らしを変えてしまうことがあります。,,Ivy,,1,alter,Ivy,,___________,,Climate change can alter the lives of many animals.,Climate|change|can|alter|the|lives|of|many|animals.,e2204-a.mp3,,1,Ivy,,right,none
e2205,va1103,nonfiction,Do you read novels?,"Not really. I prefer nonfiction, like books about space.",小説って読む？,あんまり。宇宙の本みたいなノンフィクションの方が好き。,Kevin,Ivy,2,"nonfiction,",Kevin,Ivy,Do you read novels?,___________,"Not really. I prefer nonfiction, like books about space.","Not|really.|I|prefer|nonfiction,|like|books|about|space.",e2205-a.mp3,e2205-b.mp3,1,Kevin.png,Ivy.png,left,right
e2206,va1103,nonfiction,This nonfiction book tells the true story of a brave doctor.,,このノンフィクションの本は、勇敢な医師の実話を描いています。,,Ivy,,1,nonfiction,Ivy,,___________,,This nonfiction book tells the true story of a brave doctor.,This|nonfiction|book|tells|the|true|story|of|a|brave|doctor.,e2206-a.mp3,,1,Ivy,,right,none
e2207,va1104,capable,Do you need help with dinner?,"No thanks, I'm capable of cooking pasta by myself.",夕飯、手伝おうか？,ううん大丈夫、パスタくらい一人で作れるよ。,Matthew,Ivy,2,capable,Matthew,Ivy,Do you need help with dinner?,___________,"No thanks, I'm capable of cooking pasta by myself.","No|thanks,|I'm|capable|of|cooking|pasta|by|myself.",e2207-a.mp3,e2207-b.mp3,1,Matthew.png,Ivy.png,left,right
e2208,va1104,capable,You're capable of much more than you think.,,あなたは自分が思っているよりずっと多くのことができるのよ。,,Ruth,,1,capable,Ruth,,___________,,You're capable of much more than you think.,You're|capable|of|much|more|than|you|think.,e2208-a.mp3,,1,Ruth.png,,left,none
e2209,va1105,elder,Is that your sister?,"Yes, she's my elder sister. She's in college.",あれってお姉さん？,うん、姉だよ。大学生なの。,Kevin,Ivy,2,elder,Kevin,Ivy,Is that your sister?,___________,"Yes, she's my elder sister. She's in college.","Yes,|she's|my|elder|sister.|She's|in|college.",e2209-a.mp3,e2209-b.mp3,1,Kevin.png,Ivy.png,left,right
e2210,va1105,elder,"In many villages, people still ask the elders for advice.",,多くの村では、今でも人々が長老に助言を求めます。,,Ruth,,1,elders,Ruth,,___________,,"In many villages, people still ask the elders for advice.","In|many|villages,|people|still|ask|the|elders|for|advice.",e2210-a.mp3,,1,Ruth.png,,left,none
