question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,highlight_chips,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second
e2001,va1001,either,Pizza or curry for dinner?,"Either is fine, I'm starving.",夕飯はピザとカレー、どっちにする？,どっちでもいいよ、お腹ぺこぺこ。,Kevin,Ivy,2,Either,Kevin,Ivy,Pizza or curry for dinner?,___________,"Either is fine, I'm starving.","Either|is|fine,|I'm|starving.",e2001-a.mp3,e2001-b.mp3,1,Kevin.png,Ivy.png,left,right
e2002,va1001,either,I don't like either of those songs.,,その2曲、どっちも好きじゃない。,,Ivy,,1,either,Ivy,,___________,,I don't like either of those songs.,I|don't|like|either|of|those|songs.,e2002-a.mp3,,1,Ivy,,right,none
e2003,va1002,wipe,Could you wipe the table before we eat?,"Sure, where's the cloth?",食べる前にテーブルを拭いてくれる？,いいよ、ふきんどこ？,Matthew,Ivy,1,wipe,Matthew,Ivy,___________,"Sure, where's the cloth?",Could you wipe the table before we eat?,Could|you|wipe|the|table|before|we|eat?,e2003-a.mp3,e2003-b.mp3,1,Matthew.png,Ivy.png,left,right
e2004,va1002,wipe,I wiped the fog off the window to see the snow.,,雪を見ようと、窓の曇りを拭き取った。,,Ivy,,1,wiped,Ivy,,___________,,I wiped the fog off the window to see the snow.,I|wiped|the|fog|off|the|window|to|see|the|snow.,e2004-a.mp3,,1,Ivy,,right,none
e2005,va1003,especially,Did you enjoy the museum?,"Yes, especially the room full of old maps.",博物館は楽しめた？,はい、特に古い地図でいっぱいの部屋が。,Ruth,Ivy,2,especially,Ruth,Ivy,Did you enjoy the museum?,___________,"Yes, especially the room full of old maps.","Yes,|especially|the|room|full|of|old|maps.",e2005-a.mp3,e2005-b.mp3,1,Ruth.png,Ivy.png,left,right
e2006,va1003,especially,"I love autumn, especially when the leaves turn red.",,秋が好き、特に葉っぱが赤くなる頃が。,,Ivy,,1,especially,Ivy,,___________,,"I love autumn, especially when the leaves turn red.","I|love|autumn,|especially|when|the|leaves|turn|red.",e2006-a.mp3,,1,Ivy,,right,none
e2007,va1004,fake,Is that a real diamond?,"No, it's fake, but it looks nice.",それ本物のダイヤ？,いや、偽物だよ、でもきれいでしょ。,Ivy,Kevin,2,"fake,",Ivy,Kevin,Is that a real diamond?,___________,"No, it's fake, but it looks nice.","No,|it's|fake,|but|it|looks|nice.",e2007-a.mp3,e2007-b.mp3,1,Ivy,Kevin.png,right,left
e2008,va1004,fake,Always check the source before you share news that could be fake.,,偽物かもしれないニュースを共有する前に、必ず情報源を確認しましょう。,,Ruth,,1,fake.,Ruth,,___________,,Always check the source before you share news that could be fake.,Always|check|the|source|before|you|share|news|that|could|be|fake.,e2008-a.mp3,,1,Ruth.png,,left,none
e2009,va1005,diet,A balanced diet keeps your body strong.,So I shouldn't skip vegetables at lunch.,バランスの取れた食事は体を強く保ちます。,じゃあお昼に野菜を残しちゃだめですね。,Ruth,Ivy,1,diet,Ruth,Ivy,___________,So I shouldn't skip vegetables at lunch.,A balanced diet keeps your body strong.,A|balanced|diet|keeps|your|body|strong.,e2009-a.mp3,e2009-b.mp3,1,Ruth.png,Ivy.png,left,right
e2010,va1005,diet,Pandas eat a diet made mostly of bamboo.,,パンダはほとんど竹ばかりを食べています。,,Ivy,,1,diet,Ivy,,___________,,Pandas eat a diet made mostly of bamboo.,Pandas|eat|a|diet|made|mostly|of|bamboo.,e2010-a.mp3,,1,Ivy,,right,none
