question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,highlight_chips,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second
e2601,va1301,scenery,How was your trip to Hokkaido?,"The scenery was amazing, especially the lakes.",北海道旅行どうだった？,景色が最高だったよ。特に湖が。,Kevin,Ivy,2,scenery,Kevin,Ivy,How was your trip to Hokkaido?,___________,"The scenery was amazing, especially the lakes.","The|scenery|was|amazing,|especially|the|lakes.",e2601-a.mp3,e2601-b.mp3,1,Kevin.png,Ivy.png,left,right
e2602,va1301,scenery,Let's take the train. We can enjoy the scenery.,Okay! I'll sit by the window.,電車で行こう。景色が楽しめるからね。,うん！窓側に座るね。,Matthew,Ivy,1,scenery.,Matthew,Ivy,___________,Okay! I'll sit by the window.,Let's take the train. We can enjoy the scenery.,Let's|take|the|train.|We|can|enjoy|the|scenery.,e2602-a.mp3,e2602-b.mp3,1,Matthew.png,Ivy.png,left,right
e2603,va1302,limited,Hurry! These cookies are only on sale for a limited time!,,急いで！このクッキー、期間限定なんだって！,,Ivy,,1,limited,Ivy,,___________,,Hurry! These cookies are only on sale for a limited time!,Hurry!|These|cookies|are|only|on|sale|for|a|limited|time!,e2603-a.mp3,,1,Ivy,,right,none
e2604,va1302,limited,"We have limited time, so please speak briefly.",,時間が限られているので、手短に話してください。,,Ruth,,1,limited,Ruth,,___________,,"We have limited time, so please speak briefly.","We|have|limited|time,|so|please|speak|briefly.",e2604-a.mp3,,1,Ruth.png,,left,none
e2605,va1303,volume,Can you turn down the volume? I'm on the phone.,"Oops, sorry!",音量下げてくれる？電話中なんだ。,あっ、ごめん！,Matthew,Ivy,1,volume?,Matthew,Ivy,___________,"Oops, sorry!",Can you turn down the volume? I'm on the phone.,Can|you|turn|down|the|volume?|I'm|on|the|phone.,e2605-a.mp3,e2605-b.mp3,1,Matthew.png,Ivy.png,left,right
e2606,va1303,volume,Let's measure the volume of water in this bottle.,,このボトルに入っている水の体積を測ってみましょう。,,Ivy,,1,volume,Ivy,,___________,,Let's measure the volume of water in this bottle.,Let's|measure|the|volume|of|water|in|this|bottle.,e2606-a.mp3,,1,Ivy,,right,none
e2607,va1304,transfer,Did you hear? A new student is transferring to our class.,Really? From where?,聞いた？うちのクラスに転校生が来るんだって。,ほんと？どこから？,Kevin,Ivy,1,transferring,Kevin,Ivy,___________,Really? From where?,Did you hear? A new student is transferring to our class.,Did|you|hear?|A|new|student|is|transferring|to|our|class.,e2607-a.mp3,e2607-b.mp3,1,Kevin.png,Ivy.png,left,right
e2608,va1304,transfer,We need to transfer to another train at Shinjuku.,"Okay, I'll follow you.",新宿で別の電車に乗り換えないといけないよ。,わかった、ついていくね。,Matthew,Ivy,1,transfer,Matthew,Ivy,___________,"Okay, I'll follow you.",We need to transfer to another train at Shinjuku.,We|need|to|transfer|to|another|train|at|Shinjuku.,e2608-a.mp3,e2608-b.mp3,1,Matthew.png,Ivy.png,left,right
e2609,va1305,translate,Can you translate this sentence into Japanese?,Let me try. It's a little tricky.,この文、日本語に訳せる？,やってみる。ちょっと難しいな。,Ivy,Kevin,1,translate,Ivy,Kevin,___________,Let me try. It's a little tricky.,Can you translate this sentence into Japanese?,Can|you|translate|this|sentence|into|Japanese?,e2609-a.mp3,e2609-b.mp3,1,Ivy,Kevin.png,right,left
e2610,va1305,translate,My dream is to translate picture books for children.,,私の夢は、子ども向けの絵本を翻訳することです。,,Ivy,,1,translate,Ivy,,___________,,My dream is to translate picture books for children.,My|dream|is|to|translate|picture|books|for|children.,e2610-a.mp3,,1,Ivy,,right,none
