arrange_word_id,arrange_word,stage_id
va1101,growth,ast12
va1102,alter,ast12
va1103,nonfiction,ast12
va1104,capable,ast12
va1105,elder,ast12
va1106,native,ast12
va1107,fare,ast12
va1108,mistaken,ast12
va1109,definite,ast12
va1110,forecast,ast12
va1111,conscious,ast12
va1112,explanation,ast12
va1113,feature,ast12
va1114,curiosity,ast12
va1115,competitive,ast12
va1116,establish,ast12
va1117,boundary,ast12
va1118,oneself,ast12
va1119,explorer,ast12
va1120,tax-free,ast12
va1121,historical,ast12
va1122,range,ast12
va1123,currency,ast12
va1124,junior,ast12
va1125,reception,ast12
va1126,copyright,ast12
va1127,willing,ast12
va1128,pollute,ast12
va1129,split,ast12
va1130,appoint,ast12
va1131,punish,ast12
va1132,prisoner,ast12
va1133,feverish,ast12
va1134,rough,ast12
va1135,means,ast12
va1136,concept,ast12
va1137,weapon,ast12
va1138,judgment,ast12
va1139,satisfaction,ast12
va1140,besides,ast12
va1141,distraction,ast12
va1142,historic,ast12
va1143,consideration,ast12
va1144,issue,ast12
va1145,smooth,ast12
va1146,caution,ast12
va1147,educated,ast12
va1148,assistance,ast12
va1149,appreciation,ast12
va1150,consumer,ast12
va1151,eyesight,ast12
va1152,damaging,ast12
va1153,multiply,ast12
va1154,property,ast12
va1155,poetry,ast12
va1156,vehicle,ast12
va1157,current,ast12
va1158,engaged,ast12
va1159,remain,ast12
va1160,suspicious,ast12
va1161,impression,ast12
va1162,skillful,ast12
va1163,fur,ast12
va1164,cruise,ast12
va1165,the era name,ast12
va1166,flow,ast12
va1167,intention,ast12
va1168,admission,ast12
va1169,disturbing,ast12
va1170,predict,ast12
va1171,considerate,ast12
va1172,strengthen,ast12
va1173,script,ast12
va1174,bond,ast12
va1175,conquer,ast12
va1176,elderly,ast12
va1177,the upper class,ast12
va1178,extend,ast12
va1179,differ,ast12
va1180,seal,ast12
va1181,mature,ast12
va1182,disaster,ast12
va1183,awfully,ast12
va1184,breakthrough,ast12
va1185,employer,ast12
va1186,definition,ast12
va1187,miserable,ast12
va1188,approval,ast12
va1189,coral reef,ast12
va1190,entirely,ast12
va1191,thirst,ast12
va1192,recent,ast12
va1193,prison,ast12
va1194,polar,ast12
va1195,plain,ast12
va1196,canal,ast12
va1197,harmless,ast12
va1198,inconvenient,ast12
va1199,oxygen,ast12
va1200,replace,ast12
